user_id,carbon_footprint_kg,water_usage_liters,waste_generated_kg,transportation_km,renewable_energy_percent,eco_activities_count,daily_temperature_celsius,recycling_rate_percent,consumption_level,eco_score,eco_impact_category
39,34.23981571892435,283.5955952068052,9.486332590644935,16.36838014653015,74.98507644364662,6,14.826564955403972,24.945820429323227,Low,85.91117576469165,Good
29,7.162651588866518,322.9221475560191,17.23241525634289,27.379130751410653,41.267532608339664,13,21.400557652978662,71.71205684721936,High,50.00582591910867,Good
15,47.71155792161237,444.25280715629356,13.317766727707012,92.8317532848577,64.6096175005063,16,22.26228161858445,85.61324990137435,Medium,67.48932030541548,Average
43,44.90061742841214,314.02788757346343,15.236305375983548,67.59822755863554,64.64500901246069,17,5.664244264178883,35.67687116232726,High,23.906638407502967,Average
8,16.74021305037713,173.78514856754242,15.819029985202045,49.60478386798866,88.80390643601179,12,33.353425662680266,75.74644454507177,High,75.80404210112165,Good
21,5.688704313067314,219.83836470659082,11.08720787407432,1.2714889986893518,59.869240231909735,19,25.8988181365217,29.507234926430936,Low,76.00055449620984,Excellent
39,47.004633863576736,223.97477050744436,11.77940942053919,99.24154004894702,50.21536099619869,19,19.87111250695673,29.88571352590308,Medium,31.259802490830012,Average
19,27.546794776186665,258.9272461830392,11.25192562055705,67.14549348946433,13.8871326396517,17,32.993817032249254,10.705717855418605,Low,41.06826330102828,Average
23,29.271985178002815,270.7155621346998,12.585050805621426,31.692247734494494,11.573760667870536,3,18.172866957524853,44.00580465093987,Medium,20.969027743020085,Average
11,35.778369622916344,419.9128088297078,2.529100023617131,87.92686599978381,15.432156528307939,0,34.41306710811115,72.97119064974223,Low,97.65610233229043,Average
11,32.71330239754612,239.7547996197332,9.119273057282275,25.84316202918181,17.18484813270945,17,20.368542717304553,94.02208055712849,High,64.56025770584117,Good
24,47.47512220523407,287.2927313765517,12.911396844101088,54.40165791827516,63.78770926636339,0,8.428573099939385,60.379699192909605,Low,93.45438807155155,Average
36,47.49132187063253,349.9903948204209,12.759024174605559,63.607076372982505,74.09812502745785,12,27.94402917377832,86.3135537735739,Medium,30.338554362913317,Average
40,44.02395200997517,251.0903789760677,16.27320970290137,22.106337145372844,52.999152292641874,19,25.366931752335216,82.24946492902271,Medium,78.18909129968897,Average
24,33.6381618850705,434.62592531693315,13.790168098977954,97.83972788005958,82.9017732545491,19,28.189601639167602,17.334305297528086,High,76.5858643884742,Average
